web_name,short_name,position,price,proj_pgw,starter,flags
Raya,ARS,GK,6.0,4.77,True,
Gabriel,ARS,DEF,8.0,5.19,True,
Virgil,LIV,DEF,6.5,4.99,True,
Guéhi,MCI,DEF,6.0,4.9,True,
Senesi,TOT,DEF,6.0,4.84,True,NEW-CLUB
Thiaw,NEW,DEF,5.0,4.38,True,
B.Fernandes,MUN,MID,12.0,5.83,True,PEN
Anderson,MCI,MID,6.5,5.01,True,NEW-CLUB
Rice,ARS,MID,7.5,4.69,True,
Enzo,CHE,MID,7.0,4.65,True,
Thiago,BRE,FWD,8.0,5.13,True,PEN
Dubravka,TOT,GK,4.0,4.03,False,"NEW-CLUB, GK-RISK"
Ampadu,LEE,MID,5.5,4.01,False,
Calvert-Lewin,LEE,FWD,6.0,4.08,False,PEN
Evanilson,BOU,FWD,6.0,3.55,False,
